id;name;type;description;clothing_size;colour;style;brand;material;status;last_worn
1;Metrics;TROUSERS;Product Berkshire Towels;Awesome Beauty;Account;expedite state;calculating explicit Cheese;schemas Electronics Account;AVAILABLE;2024-03-02T15:53:12
2;Books transmit Savings;ACCESSORIES;black protocol Borders;Georgia Group;transmitter deposit backing;Cotton Hat parallelism;Dynamic Steel;generating moderator Tuna;EXCHANGED;2024-03-03T03:08:41
3;Regional cross-platform Fantastic;DRESS;Executive SSL;firewall Som wireless;workforce Stravenue hierarchy;payment;auxiliary workforce;secondary syndicate card;AVAILABLE;2024-03-03T06:58:21
4;Beauty;ACCESSORIES;network;open-source;Avon Berkshire;models Awesome bandwidth;Manager program;programming;NOTFORSALE;2024-03-03T02:43:36
5;Practical open-source Account;ACCESSORIES;virtual Kids;Shoes Views;Human e-enable Beauty;Cheese navigate;focus Oregon;Marketing dynamic;NOTFORSALE;2024-03-02T19:42:06
6;Rubber;TROUSERS;RAM Vermont;capacitor Versatile;action-items Director National;models;Architect transmitting Iowa;Rustic deposit;NOTFORSALE;2024-03-02T22:47:50
7;neural state Card;TROUSERS;Architect Computer;override XML Rand;Licensed;Account Manager;Metal;Lane;EXCHANGED;2024-03-03T08:44:21
8;Division;ACCESSORIES;plum CSS;open-source Macao Lead;deposit Kip;up Wisconsin Vista;Rupee parse;Key Loan;SOLD;2024-03-03T02:55:07
9;calculate Automated;SHOES;olive;24/365 Account Assurance;deposit Borders;disintermediate;Response Kong;users;NOTFORSALE;2024-03-03T01:43:50
10;Engineer;SHIRTS;matrix;Refined seamless;alarm bus;Personal Electronics Krone;invoice;Chips Mexico Berkshire;NOTFORSALE;2024-03-03T08:27:23
